File Path,Duration (s)
BabyView Bing/01480001/8/6/2023/GX040050.MP4,704.7
BabyView Bing/01640001/07/21/2023/GX010013.MP4,670.8
BabyView Bing/01640001/07/21/2023/GX010014.MP4,704.7
BabyView Bing/01640001/07/21/2023/GX020014.MP4,589.29
BabyView Bing/01640001/07/19/2023/GX010012.MP4,865.88
BabyView Bing/01640001/07/19/2023/GX020012.MP4,768.77
BabyView Bing/01640001/07/19/2023/GX030012.MP4,533.27
BabyView Bing/01640001/7/28/2023/GX020016.MP4,661.76
BabyView Bing/01640001/7/28/2023/GX010016.MP4,768.77
BabyView Bing/02980001/07/21/2023/GX010012.MP4,704.7
BabyView Bing/02980001/07/21/2023/GX020012.MP4,704.7
BabyView Bing/02980001/07/21/2023/GX030012.MP4,567.4
BabyView Bing/02980001/7/24/2023/GX020024.MP4,611.03
BabyView Bing/02980001/7/24/2023/GX010024.MP4,832.83
BabyView Bing/02980001/08/02/2023/GX020025.MP4,619.99
BabyView Bing/02980001/08/02/2023/GX010025.MP4,768.77
BabyView Bing/02750002/8/4/2023/GX030043.MP4,56.62
BabyView Bing/02750002/8/4/2023/GX020043.MP4,704.7
BabyView Bing/02750002/8/4/2023/GX010043.MP4,704.7
BabyView Bing/02750002/07/21/2023/GX010011.MP4,704.7
BabyView Bing/02750002/07/21/2023/GX020011.MP4,478.25
BabyView Bing/02140001/8/2/2023/GX020041.MP4,768.77
BabyView Bing/02140001/8/2/2023/GX010041.MP4,768.77
BabyView Bing/02140001/8/2/2023/GX030041.MP4,55.56
BabyView Bing/02140001/7/31/2023/GX010038.MP4,768.77
BabyView Bing/02140001/7/31/2023/GX020038.MP4,690.42
BabyView Bing/02140001/08/07/2023/GX050031.MP4,642.41
BabyView Bing/02140001/08/07/2023/GX020031.MP4,704.7
BabyView Bing/02140001/08/07/2023/GX010031.MP4,704.7
BabyView Bing/02140001/08/07/2023/GX040031.MP4,704.7
BabyView Bing/02140001/08/07/2023/GX030031.MP4,704.7
BabyView Bing/02370001/07/17/2023/GX030005.MP4,704.7
BabyView Bing/02370001/07/17/2023/GX010005.MP4,704.7
BabyView Bing/02370001/07/17/2023/GX040005.MP4,15.95
BabyView Bing/02370001/07/17/2023/GX020005.MP4,768.77
BabyView Bing/02370001/07/14/2023/GX020006.MP4,704.7
BabyView Bing/02370001/07/14/2023/GX030006.MP4,250.35
BabyView Bing/02370001/07/14/2023/GX010006.MP4,704.7
BabyView Bing/02370001/08/04/2023/GX010028.MP4,707.91
BabyView Bing/02370001/08/04/2023/GX010029.MP4,607.34
BabyView Bing/02410001/7/26/2023/GX030026.MP4,657.96
BabyView Bing/02410001/7/26/2023/GX010026.MP4,655.66
BabyView Bing/02410001/7/26/2023/GX010028.MP4,32.45
BabyView Bing/02410001/7/26/2023/GX020026.MP4,704.7
BabyView Bing/02410001/7/26/2023/GX010027.MP4,64.41
BabyView Bing/02410001/7/24/2023/GX030022.MP4,168.97
BabyView Bing/02410001/7/24/2023/GX010022.MP4,704.7
BabyView Bing/02410001/7/24/2023/GX020022.MP4,704.7
BabyView Bing/02550001/07/26/2023/GX010019.MP4,196.86
BabyView Bing/02550001/7/31/2023/GX040037.MP4,704.7
BabyView Bing/02550001/7/31/2023/GX050037.MP4,610.11
BabyView Bing/02550001/7/31/2023/GX010031.MP4,289.99
BabyView Bing/02550001/7/31/2023/GX030037.MP4,704.7
BabyView Bing/02550001/7/31/2023/GX010037.MP4,768.77
BabyView Bing/02550001/7/31/2023/GX020037.MP4,704.7
BabyView Bing/02550001/7/24/2023/GX010012.MP4,42.34
BabyView Bing/02620001/8/7/2023/GX030022.MP4,666.63
BabyView Bing/02620001/8/7/2023/GX010022.MP4,768.77
BabyView Bing/02620001/8/7/2023/GX020022.MP4,768.77
BabyView Bing/02620001/7/17/2023/GX010004.MP4,704.7
BabyView Bing/02620001/7/17/2023/GX020004.MP4,401.92
BabyView Bing/02620001/7/26/2023/GX020025.MP4,304.5
BabyView Bing/02620001/7/26/2023/GX010024.MP4,272.84000000000003
BabyView Bing/02620001/7/26/2023/GX010025.MP4,687.7
BabyView Bing/02620001/7/24/2023/GX020010.MP4,141.07
BabyView Bing/02620001/7/24/2023/GX010010.MP4,704.7
BabyView Bing/02450001/07/26/2023/GX020030.MP4,704.7
BabyView Bing/02450001/07/26/2023/GX010030.MP4,704.7
BabyView Bing/02450001/07/26/2023/GX030030.MP4,93.56
BabyView Bing/02450001/08/02/2023/GX030026.MP4,159.03
BabyView Bing/02450001/08/02/2023/GX010026.MP4,704.7
BabyView Bing/02450001/08/02/2023/GX020026.MP4,704.7
BabyView Bing/02800002/07/26/2023/GX020023.MP4,465.43
BabyView Bing/02800002/07/26/2023/GX010023.MP4,704.7
BabyView Bing/02740001/07/19/2023/GX020008.MP4,241.15
BabyView Bing/02740001/07/19/2023/GX020009.MP4,704.7
BabyView Bing/02740001/07/19/2023/GX010008.MP4,704.7
BabyView Bing/02740001/07/19/2023/GX010009.MP4,704.7
BabyView Bing/02740001/07/19/2023/GX030009.MP4,554.55
BabyView Bing/01720001/8/4/2023/GX010046.MP4,158.09
BabyView Bing/02950001/7/24/2023/GX010013.MP4,768.77
BabyView Bing/02950001/7/24/2023/GX020013.MP4,241.05
BabyView Bing/02950001/7/24/2023/GX010014.MP4,277.01
BabyView Bing/02950001/7/21/2023/GX030015.MP4,310.24
BabyView Bing/02950001/7/21/2023/GX010015.MP4,704.7
BabyView Bing/02950001/7/21/2023/GX020015.MP4,704.7
BabyView Bing/02950001/7/21/2023/GX010016.MP4,449.45
BabyView Bing/02950001/7/19/2023/GX020006.MP4,345.28
BabyView Bing/02950001/7/19/2023/GX010006.MP4,704.7
BabyView Bing/02950001/08/07/2023/GX030032.MP4,104.2
BabyView Bing/02950001/08/07/2023/GX020032.MP4,832.83
BabyView Bing/02950001/08/07/2023/GX010032.MP4,832.83
00270001/By Date/03/06/2023-03/12/2023/GX020039.MP4,569.8
00270001/By Date/03/06/2023-03/12/2023/GX010039.MP4,704.7
00270001/By Date/03/27/2023-04/02/2023/GX030043.MP4,265.63
00270001/By Date/03/27/2023-04/02/2023/GX020043.MP4,704.7
00270001/By Date/03/27/2023-04/02/2023/GX010043.MP4,704.7
00270001/By Date/03/27/2023-04/02/2023/GX010042.MP4,704.7
00270001/By Date/03/27/2023-04/02/2023/GX020042.MP4,627.67
00270001/By Date/03/20/2023-03/26/2023/GX020041.MP4,655.59
00270001/By Date/03/20/2023-03/26/2023/GX010041.MP4,768.77
00270001/By Date/02/27/2023-03/05/2023/GX040038.MP4,530.35
00720001/GX030001.MP4,552.62
00720001/GX030005.MP4,704.7
00720001/GX030002.MP4,339.87
00720001/GX040004.MP4,115.05
00720001/GX030004.MP4,704.7
00720001/GX040005.MP4,478.54
00720001/GX030003.MP4,805.7
00720001/By Date/07/03/23-07/09/23/GX040014.MP4,381.01
00720001/By Date/07/03/23-07/09/23/GX040013.MP4,697.9
00720001/By Date/07/03/23-07/09/23/GX010013.MP4,704.7
00720001/By Date/07/03/23-07/09/23/GX020013.MP4,704.7
00720001/By Date/07/03/23-07/09/23/GX010014.MP4,832.83
00720001/By Date/07/03/23-07/09/23/GX030013.MP4,832.83
00720001/By Date/07/03/23-07/09/23/GX020014.MP4,704.7
00720001/By Date/07/03/23-07/09/23/GX030014.MP4,704.7
00720001/By Date/07/17/23-07/23/23/GX010003-July22.MP4,499.97
00720001/By Date/07/17/23-07/23/23/GX020002-July21.MP4,768.77
00720001/By Date/07/17/23-07/23/23/GX030002-July21.MP4,347.65
00720001/By Date/07/17/23-07/23/23/GX010002-July21.MP4,888.9
00720001/By Date/07/24/23-07/30/23/GX030001.MP4,552.62
00720001/By Date/07/24/23-07/30/23/GX010003.MP4,832.83
00720001/By Date/07/24/23-07/30/23/GX030002.MP4,339.87
00720001/By Date/07/24/23-07/30/23/GX010001.MP4,832.83
00720001/By Date/07/24/23-07/30/23/GX020001.MP4,896.9
00720001/By Date/07/24/23-07/30/23/GX020003.MP4,768.77
00720001/By Date/07/24/23-07/30/23/GX030003.MP4,805.7
00720001/By Date/07/24/23-07/30/23/GX010002.MP4,704.7
00720001/By Date/07/24/23-07/30/23/GX020002.MP4,768.77
00720001/By Date/07/10/23-7/16/23/GX040015.MP4,768.77
00720001/By Date/07/10/23-7/16/23/GX050015.MP4,238.81
00720001/By Date/07/10/23-7/16/23/GX030015.MP4,768.77
00720001/By Date/06/12/23-06/18/23/GX030005.MP4,406.31
00720001/By Date/06/12/23-06/18/23/GX020006.MP4,226.23
00720001/By Date/06/12/23-06/18/23/GX040004.MP4,405.51
00720001/By Date/06/12/23-06/18/23/GX010005.MP4,1025.02
00720001/By Date/06/12/23-06/18/23/GX030004.MP4,832.83
00720001/By Date/06/12/23-06/18/23/GX010006.MP4,832.83
00720001/By Date/06/12/23-06/18/23/GX010004.MP4,768.77
00720001/By Date/06/12/23-06/18/23/GX020005.MP4,768.77
00720001/By Date/06/12/23-06/18/23/GX020004.MP4,896.9
00720001/By Date/06/26/23-07/02/23/GX010011.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX010012.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX020011.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX020010.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX030011.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX020012.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX010010.MP4,896.9
00720001/By Date/06/26/23-07/02/23/GX030012.MP4,419.95
00720001/By Date/06/26/23-07/02/23/GX040011.MP4,704.7
00720001/By Date/06/26/23-07/02/23/GX050011.MP4,662.19
00720001/By Date/06/26/23-07/02/23/GX040010.MP4,696.4
00720001/By Date/06/26/23-07/02/23/GX030010.MP4,704.7
00720001/By Date/06/19/23-06/25/23/GX020008.MP4,768.77
00720001/By Date/06/19/23-06/25/23/GX020009.MP4,704.7
00720001/By Date/06/19/23-06/25/23/GX010007.MP4,1089.09
00720001/By Date/06/19/23-06/25/23/GX040008.MP4,463.23
00720001/By Date/06/19/23-06/25/23/GX030007.MP4,659.03
00720001/By Date/06/19/23-06/25/23/GX030008.MP4,768.77
00720001/By Date/06/19/23-06/25/23/GX040009.MP4,244.18
00720001/By Date/06/19/23-06/25/23/GX010008.MP4,832.83
00720001/By Date/06/19/23-06/25/23/GX010009.MP4,704.7
00720001/By Date/06/19/23-06/25/23/GX030009.MP4,704.7
00400001/GX010053.MP4,0.77
00400001/GX010052.MP4,0.75
00400001/GX010054.MP4,768.77
00400001/GX010046.MP4,896.9
00400001/GX010045.MP4,768.77
00400001/GX030043.MP4,486.65
00400001/GX010047.MP4,242.15
00400001/GX020043.MP4,768.77
00400001/GX010048_08.09.23.MP4,896.9
00400001/GX010043.MP4,832.83
00400001/GX030046.MP4,768.77
00400001/GX020048_08.08.23.MP4,768.77
00400001/GX010042.MP4,832.83
00400001/GX010051.MP4,0.68
